index,Building A,Building A,Building A,Building A,Building A,Building A,Building A,Building B,Building B,Building B,Building B,Building B,Building B,Building B,Building C,Building C,Building C,Building C,Building C,Building C,Building C,Building D,Building D,Building D,Building D,Building D,Building D,Building D,Building E,Building E,Building E,Building E,Building E,Building E,Building E,Building F,Building F,Building F,Building F,Building F,Building F,Building F,Development,Development,Development,Development,Development,Development,Development,MLCP,MLCP,MLCP,MLCP,MLCP,MLCP,MLCP,Status,Status,Status,Total,Total,Total,Total,Total,Total,,,,,,
,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,Pre,During,Post,Reinforcement,Shuttering,Other,Total,,IN_PROGRESS,PASSED,Pre,During,Post,Reinforcement,Shuttering,Other,During,Other,Post,Pre,Reinforcement,Shuttering
PLUMBING WORK-INTERNAL. Vighnaharta Ent.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0
Painting Works : Internal (Ayush Ent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,103,0,0,0,0,0,0,0,0,0,0,0
Painting Works : Internal Namantra Enterprises,0,0,0,0,0,0,0,21,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0
Painting works : Internal Excellent Corporate works,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
Painting works : Internal Om Enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
RCC FOOTING WORK. Kritija,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,18,0,8,2,1,6,2,0,1,0,0,0,0,0,0,1
RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Kritija,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,8,0,0,24,0,17,1,1,6,1,8,2,0,0,0,0,0,0,2
RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Mahaveer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,3,1,1,0,0,0,0,0,0,0
RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Shree Sai Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
RCC Works: Reinforcements and Shuttering (Column/Staircase/Beam) Kritija,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1
