BaseName,Building,Pre,During,Post,Reinforcement,Shuttering,Other,Total Count
PCC (PLAIN CEMENT CONCRETE),UNKNOWN,0,0,0,0,0,0,0
PLUMBING WORK-INTERNAL,Building A,0,0,0,0,0,0,0
PLUMBING WORK-INTERNAL,Building B,0,0,0,0,0,24,24
PLUMBING WORK-INTERNAL,Building C,0,0,0,0,0,0,0
PLUMBING WORK-INTERNAL,Building D,16,0,0,0,0,44,60
PLUMBING WORK-INTERNAL,Building E,0,0,0,0,0,0,0
PLUMBING WORK-INTERNAL,Building F,0,0,0,0,0,0,0
PLUMBING WORK-INTERNAL,Development,0,0,0,0,0,0,0
PLUMBING WORK-INTERNAL,MLCP,0,0,0,0,0,0,0
PLUMBING WORK-INTERNAL,UNKNOWN,0,0,0,0,0,0,0
Painting Works,Building A,0,0,0,0,0,0,0
Painting Works,Building B,21,0,0,0,0,0,21
Painting Works,Building C,103,0,0,0,0,0,103
Painting Works,Building D,0,0,0,0,0,0,0
Painting Works,Building E,0,0,0,0,0,0,0
Painting Works,Building F,0,0,0,0,0,0,0
Painting Works,Development,0,0,0,0,0,0,0
Painting Works,MLCP,0,0,0,0,0,0,0
Painting Works,UNKNOWN,0,0,0,0,0,0,0
Painting works,Building A,0,0,0,0,0,0,0
Painting works,Building B,6,0,0,0,0,0,6
Painting works,Building C,0,0,0,0,0,0,0
Painting works,Building D,0,0,0,0,0,0,0
Painting works,Building E,12,0,0,0,0,0,12
Painting works,Building F,0,0,0,0,0,0,0
Painting works,Development,0,0,0,0,0,0,0
Painting works,MLCP,0,0,0,0,0,0,0
Painting works,UNKNOWN,0,0,0,0,0,0,0
RCC FOOTING WORK,Building A,0,0,0,0,0,0,0
RCC FOOTING WORK,Building B,0,0,0,0,0,0,0
RCC FOOTING WORK,Building C,0,0,0,0,0,0,0
RCC FOOTING WORK,Building D,0,0,0,0,0,0,0
RCC FOOTING WORK,Building E,0,0,0,0,0,0,0
RCC FOOTING WORK,Building F,0,0,0,0,0,0,0
RCC FOOTING WORK,Development,0,0,0,0,0,0,0
RCC FOOTING WORK,MLCP,9,8,2,0,0,0,19
RCC FOOTING WORK,UNKNOWN,0,0,0,0,1,0,1
RCC Works,Building A,0,0,0,1,1,1,3
RCC Works,Building B,0,0,0,0,0,0,0
RCC Works,Building C,0,0,0,0,0,0,0
RCC Works,Building D,9,8,5,1,1,1,25
RCC Works,Building E,0,0,0,0,0,0,0
RCC Works,Building F,5,3,0,1,0,6,15
RCC Works,Development,1,1,0,0,0,0,2
RCC Works,MLCP,10,7,1,9,2,0,29
RCC Works,UNKNOWN,1,0,0,0,3,0,4
TILING- FLOORING WORK,Building A,0,0,0,0,0,0,0
TILING- FLOORING WORK,Building B,16,9,2,0,0,0,27
TILING- FLOORING WORK,Building C,27,1,0,0,0,0,28
TILING- FLOORING WORK,Building D,20,14,0,0,0,0,34
TILING- FLOORING WORK,Building E,21,17,0,0,0,0,38
TILING- FLOORING WORK,Building F,0,0,0,0,0,0,0
TILING- FLOORING WORK,Development,0,0,0,0,0,0,0
TILING- FLOORING WORK,MLCP,0,0,0,0,0,0,0
TILING- FLOORING WORK,UNKNOWN,2,1,0,0,0,0,3
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,Building A,0,0,0,0,0,0,0
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,Building B,6,2,0,0,0,0,8
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,Building C,0,0,0,0,0,0,0
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,Building D,0,0,0,0,0,0,0
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,Building E,7,7,6,0,0,0,20
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,Building F,0,0,0,0,0,0,0
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,Development,0,0,0,0,0,0,0
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,MLCP,0,0,0,0,0,0,0
TILING- GRANITE FRAMES DOOR & WINDOW/TOP  WORK,UNKNOWN,2,2,2,0,0,0,6
TILING- TOILET DADO WORK,Building A,0,0,0,0,0,0,0
TILING- TOILET DADO WORK,Building B,19,7,2,0,0,0,28
TILING- TOILET DADO WORK,Building C,24,0,0,0,0,0,24
